,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
Beef,0.20424150754017165,-0.07773184231132767,-0.14355638823392097,0.39990134371079206,0.0610101921753967,0.43249654513473684,0.21303737578509305,0.05486157333349162,0.09942779294684381,-0.33799233747247703,-0.21168324066077862,-0.19190163795288548,0.24638107574192758,0.12325631137195789,-0.011558800780125117,0.2075735042963645,0.3800598481298035,0.03152801902971612,-0.04369737815551214,0.0641493451148634,0.10566016298588395,0.1133794123133962,0.16397714679502776,0.07059391056841674,-0.017649307843725374
Bread,0.2023931876550045,-0.17962850925498225,-0.09080796465435657,-0.04401166642495047,0.22037679592267412,0.1885545601780103,0.17935028849601348,0.097875519279798,0.4293640471143823,0.5087815201700451,0.10559156370428985,0.06693425678261573,-0.13383998832378208,0.25152354874450855,-0.319443358535049,-0.17843631534804366,0.00581839391086224,-0.13433175373939188,0.07627409124984291,-0.1382805971246134,0.2665835334594266,0.029463781565077264,-0.030009438525640128,-0.02923369247790151,-0.01056749414258412
Chocolate,0.20727095681328211,0.07817974631276421,-0.02198146311773182,-0.19556400087896927,-0.26502183703706567,-0.1085398639785301,-0.09943155987713383,0.5363795725646041,0.23050713431992387,-0.2711572859399315,0.14318017731813426,-0.07100703834643779,-0.30762261344267045,0.1739515712316149,-0.18267043448561698,0.20984404413925034,0.0730236070101744,0.2145726976643837,0.05352835757171933,-0.19404028307695476,-0.25926403539702986,-0.021575131440362955,0.029936735247642222,0.12819459277276485,-0.03450588016383742
Coffee,0.19837108679815244,-0.08293006739474529,0.58212078998142,0.061365201468749214,-0.17677577063470126,-0.15996583102528633,-0.18045038061157745,0.007787450472106447,0.0433987925899767,0.04413419735621747,-0.06138662205290295,-0.01428745798117069,0.3647964711179019,0.3436599601504844,-0.09873891827448875,0.18871929681813585,-0.17955398024854968,-0.02105174211447785,0.16789053431487794,0.18138905313177114,0.2011506894266801,-0.2377784623278987,0.15632743651352804,-0.034193184922204245,0.030872501237970546
Corn,0.20318862362555457,-0.14210971703621997,0.07414009489637156,-0.21570290036037984,-0.11724448560659174,0.03924479019590164,0.5875257162112554,0.1984226671705294,-0.42049643841964096,-0.20859123926728468,-0.03820926330176944,0.15662696470302742,-0.02537661980031495,-0.016159066910916748,0.006316074008208909,-0.31635706846002937,-0.15048390007292786,0.054997843194488756,0.28705325928958375,0.02201710438566368,0.1524378316897228,0.03980025004466809,0.07367155118777763,-0.010134720998301263,-0.019948086646975074
Cotton,0.20422183965139346,-0.11447830254193454,0.19118999734335876,0.37443925021825236,-0.09882997458956061,0.18794854776260864,-0.23681588506729354,0.16777574446884366,0.21842632698353695,-0.25481166907577985,0.2449876810124128,0.3266805637111371,-0.11062057059479766,-0.29342526871014446,0.15543955012171454,-0.3262336181616785,-0.1946683669202257,-0.05817964476028333,-0.22101908955145286,0.024666477122557248,0.11375497090006993,0.0077435913875527175,-0.03154190874407212,-0.15697654385467177,-0.03779917883736574
Common Flour,0.19894283566043755,-0.2448300531759621,-0.024677858794014226,-0.0930584059577398,0.29460024683243846,-0.11027436989110188,0.01747792286016755,-0.029818103873157923,0.019489185649024247,-0.006887687515076685,0.00409491569433181,-0.10744486184321296,-0.03818114255002072,-0.1422947840122025,0.10683416080085945,-0.062371156087119274,0.054145490074614666,-0.09302079183375335,-0.09540934721506249,0.09532251373170687,-0.18949002024450498,-0.476793174179195,0.24294344579089508,0.2077833663399323,-0.5889494715256213
Flour Middling,0.19991965074390416,-0.23058367925668236,-0.03520327761040677,-0.04354641029931261,0.3081904802486932,-0.1381152902913153,0.09601758811051292,-0.006042643529557926,0.03800466795767099,-0.040121263554254764,0.017118163307992533,0.09928889245136577,0.07339129111597262,0.10672996208514951,-0.062428014257765264,0.15033439901432566,-0.2479230623121888,0.3758212226811847,-0.26430988631019336,0.45572513961242467,-0.15583792702309726,0.2704950392972903,-0.3735605539078491,0.07918007757146003,0.020284206145081713
Artisan Flour,0.2034568102148911,-0.21660534123908487,-0.04061016766783218,-0.0810525985868649,0.187444944028682,-0.08853310685239635,0.026950984733087498,-0.05245683280648842,0.08537107576516238,-0.05857654616820474,-0.004066100837313564,-0.09310068738769947,-0.08985156977226891,-0.1610242303463542,0.03285094611011967,-0.059750243094323814,0.1367780418092882,-0.01948264720401351,0.041807317423546354,0.10517441377914226,-0.21915082556387322,-0.3267360475873034,0.18843197776249274,-0.20003074171805652,0.732640505762675
Indigo,0.2038474405058317,-0.1577947115315806,-0.18268939522403518,-0.04274915271262604,-0.3336208534790241,-0.026474051872783955,-0.17450239704666448,0.04370655240468099,-0.35267077633420474,0.19069957171966956,-0.015536965972560816,0.12761971348853846,0.22858244534407735,-0.15198870404909862,-0.4197227122979614,-0.07876507785016751,0.17096537034864126,-0.04876728996529179,-0.4344507578341007,-0.05106391008156502,0.05855966246583003,-0.05999686344987786,0.013691715450711388,0.27518716866014137,0.1143659584156288
Iron Bar,0.21363196333213627,-0.015311686200020212,-0.014051863958720776,-0.17242573976220707,-0.18224970222461367,0.027336882648480238,-0.0454670617302996,-0.03192048526588523,-0.006069426629525932,0.09563619737649948,-0.29496397465712637,0.05632275357486327,-0.036151961106999156,-0.16786789620522885,-0.07953871803210921,0.12410799978147756,0.2649067130345767,0.10552305353579342,0.006741206294813065,0.06739351246160036,-0.0028948111491997326,-0.059968768611575456,-0.22980659446285978,-0.7218805762589139,-0.2704629683519769
Leather Sole,0.21164332823134702,-0.11589236966824115,-0.01024651661077988,0.04288064220506691,-0.08534247697918762,-0.031148889340571573,-0.08705230679129924,-0.0627235560852446,-0.09748078752769365,-0.12555711714833806,0.06283781771470658,-0.0844016435562864,-0.10249466327203424,0.14577666750596135,0.1241029987155746,-0.003618319332543487,0.1819935218089537,-0.5518423333193749,0.2361629867812031,0.08187664091791444,-0.06211069679553607,-0.0498551206884363,-0.6292998296594963,0.18221737494503612,0.02938290622997895
Molasses,0.17250701957379425,0.36853986428713364,0.1421684427726572,-0.1625346718592827,0.28366295672912656,0.35641047205496285,-0.26981379170989855,0.2657619562801395,-0.2781989791034131,0.1834692697935156,-0.22356922019355252,0.08891304957270137,-0.07707738930659742,0.2713125460859467,0.28909813287141145,-0.19661079088774552,0.1082721455279027,0.09227550069161745,-0.14540767888975717,0.060438154319530625,-0.04532150809571513,-0.0819401096746647,-0.02472439263270196,0.06693413015341053,0.08512052591304403
Pepper,0.1839594525248391,0.3094788250821628,0.1752687503720419,0.3250091453210765,-0.04639817605975615,-0.30572782916370295,0.3044821723903529,0.01291660147069317,-0.1677694937460568,0.2542116354471461,0.3629509127329881,-0.06529767749286278,-0.19134006406390724,0.07976363207833943,0.04559400679208597,0.03520214095996923,0.27431235834631945,-0.12505160769300216,-0.19597042835650202,0.20532208042778158,-0.12967298726047144,0.17147779619749295,0.1810756835500671,-0.13583991521706743,-0.03958855183775292
Pork,0.20769963001785588,-0.012440712787821778,-0.27253423401824955,0.34475313917054207,-0.008261359932891345,-0.09442385722189972,0.054922875512665253,0.25532445706726686,-0.17404806884398574,0.21762813725888397,-0.1009103313400325,-0.3502619136232184,0.12999970353804713,-0.0023272901945722776,0.19786703155904373,0.10972257270980892,-0.48144494548554323,-0.0015060633432872146,-0.047092680113209905,-0.3334927695454369,-0.054325579517432034,-0.12887208184184512,-0.12028409197529824,-0.16636046135070753,0.028956134965133856
Rice,0.2080667069969994,0.0813599380828357,-0.18247812638901037,0.01530589783683487,0.006472777990975483,0.31877494401403905,-0.18939440995923248,-0.3505151267014708,-0.19660384724053145,-0.02799988859383,0.5227853980607567,0.009419765926124795,0.17356397014237004,0.1521013639518042,-0.16056724533916053,-0.06249736976512131,-0.07999131863588459,0.21685504026935987,0.3084111288419593,-0.05672983561857774,-0.282183249016007,-0.03992504522228931,0.04929342204421718,-0.13491582167312532,-0.08230715348905421
Rum,0.19211519748031303,0.28861351959833037,0.047947123571389576,-0.12275670933030662,0.20198397516816094,0.05201205978475124,-0.061847211944320836,0.26348695640073766,0.0539120414752587,0.14174697405470235,0.12220121833105092,-0.05348559276108086,0.2527544266766423,-0.6182104125448977,-0.0732131612110355,0.23160014227048564,-0.007314945431884556,-0.09582441539938227,0.32941427800741874,0.1526378759976491,0.10611549368060798,0.1551479014710969,-0.015508129011725625,0.15129740472979386,0.017368336086180165
Sugar,0.20904766385631993,0.10494083594580882,0.20705136423003798,0.017436208983162484,0.052173415419445174,0.04584828470971744,-0.00019340813656119017,-0.3423778377828462,-0.11154433898936425,-0.08380058223297628,0.047266246480998364,-0.327217288328901,-0.4256304039904042,-0.16017232051268782,-0.08927378184771144,0.10731410689890611,-0.016151788228831246,0.3226071044351792,-0.08699157112673685,-0.15500727198064537,0.46565383884366474,-0.14489529339246082,-0.15708264612807496,0.15764479775185228,0.041315752575279495
Sugar Subsitute,0.21200502590044068,0.006712424246281223,0.20134040232204237,-0.07620054561746899,0.09132354679378107,-0.00511498672111887,-0.16391472399043341,-0.1671877788372728,-0.008207746158579806,-0.12900262715476385,-0.3090711640663573,-0.32538320493354933,-0.10853542904941436,-0.034995753037408324,-0.28623156386068604,-0.24278866531165796,-0.20953714072498764,-0.27019685613214195,-0.042755550424727305,-0.08779950468553269,-0.26662594988105054,0.47912892367338356,0.20320184216055412,-0.05115246597722532,-0.04980172590954429
Tar,0.19723553955111442,0.20798553315076043,-0.04759319403527993,-0.43843930294063754,-0.17961201698184517,-0.04432258172126717,0.16311149361428062,-0.13957176885300362,0.32142167575998465,-0.10897549282180612,0.1956771396528061,-0.2446607092446029,0.3890258585652979,0.05208443398476316,0.32382485915229614,-0.19567761797308697,0.009177928029296633,-0.042541944802662816,-0.32188210603898354,-0.09092203720989854,0.1104540762785256,0.04391897115902127,-0.058692648893059,-0.0258882372647681,0.021916213961417918
Tea,0.18323255968803703,0.3395956436819804,0.06223485335002796,0.014005394335004794,-0.07236046353578124,0.1703890858747155,0.3202056270489172,-0.2759902090432259,0.14682795573005236,-0.01893089483659915,-0.21196169074849378,0.4403232708694123,-0.05790358546497714,-0.0483805627153691,-0.09025468689045676,0.3010169575324806,-0.25216375799503177,-0.18194436737812095,-0.12357717374921344,-0.14563020224897819,-0.2697411985385176,-0.20702280890593946,-0.03301161203798203,0.12851657939053418,0.04985951220691913
Tobacco,0.1967086259057653,-0.21762624573504452,-0.20312128024975462,-0.10701789267543813,-0.4031577232366977,0.1601856786514773,-0.12359974846929773,-0.14971310777703742,0.0465794279448952,0.27216609088997196,-0.07424126860539725,0.01765688287276561,-0.27454256240185143,-0.013736245291329644,0.41380317698327973,0.2043548221381869,-0.12735776495733198,0.004396467644584411,0.1173037335917722,0.2712977056096716,0.05112106223210366,0.223204178295336,0.29222639541493806,0.15203556135033675,0.013290152855442501
Turpentine,0.1692255239446321,0.35395474161795804,-0.5091222438348287,0.048607708524804456,0.10118350796520217,-0.34369608493794784,-0.18029054313772253,-0.048830107130222594,0.027623721783303405,-0.2590534723555464,-0.12193174054802354,0.1532466389368857,-0.07051181153044324,0.16998055023411723,-0.13194811083123686,-0.09947195514611779,-0.11865874490066154,-0.11130026654171772,0.08429384659852918,0.2486798112554312,0.3515857294376506,-0.07703484013117126,0.15439747809441812,-0.06904948405990327,-0.017159590941736903
Wheat,0.19922765811055732,-0.22065259080071345,0.03286954557715884,-0.12176545779131538,0.31882139833325146,-0.22291123968715376,-0.12611127746515668,-0.0682216718385145,-0.1635887922947857,-0.10085686358751537,0.10301267670812042,0.3412758896952305,0.0547751875365582,0.06952121702209184,0.22306660210440876,0.32256147811889657,0.14639679333380204,-0.0882008774856027,-0.033798905879338384,-0.4955360395764084,0.15144367180724091,0.27461046724676436,0.1342509661543428,-0.07630252870883292,0.008072365276250614
Wine,0.2097775147724712,0.06452936653969593,0.0260433730637461,0.2559123256161953,-0.08659937155833126,-0.3183218126495883,-0.021731610398937378,-0.15177286232199322,0.19677514206918348,0.15115359897715594,-0.2732553566445975,0.14417215818861734,0.13180539916152723,-0.07468825028907329,0.13769266589469611,-0.3502711823881857,0.23873485997816657,0.3836720722674881,0.2983541938547162,-0.1941002452992062,-0.1537699527947308,0.07607992019998751,-0.09520832176618972,0.2495086269209753,-0.007816328287245334
