MONTH,YEAR,Deaths
4,1775,11
6,1775,145
7,1775,6
8,1775,13
9,1775,14
10,1775,14
11,1775,22
12,1775,7
1,1776,8
2,1776,2
3,1776,19
4,1776,3
5,1776,8
6,1776,64
7,1776,32
8,1776,15
9,1776,94
10,1776,76
11,1776,66
12,1776,28
1,1777,41
2,1777,42
3,1777,32
4,1777,38
5,1777,12
6,1777,60
7,1777,61
8,1777,160
9,1777,451
10,1777,281
11,1777,23
12,1777,47
1,1778,1
2,1778,0
3,1778,39
4,1778,46
5,1778,67
6,1778,127
7,1778,240
8,1778,6
9,1778,42
10,1778,5
11,1778,15
12,1778,83
1,1779,7
2,1779,29
3,1779,154
4,1779,9
5,1779,25
6,1779,53
7,1779,57
8,1779,24
9,1779,24
10,1779,163
11,1779,0
12,1779,7
1,1780,31
2,1780,42
3,1780,0
4,1780,29
5,1780,222
6,1780,101
7,1780,31
8,1780,356
9,1780,44
10,1780,75
11,1780,30
12,1780,19
1,1781,29
2,1781,37
3,1781,85
4,1781,54
5,1781,59
6,1781,96
7,1781,83
8,1781,234
9,1781,149
10,1781,50
11,1781,75
12,1781,0
1,1782,57
2,1782,65
3,1782,17
4,1782,1
5,1782,15
6,1782,21
7,1782,7
8,1782,88
9,1782,0
10,1782,0
11,1782,6
12,1782,2
1,1783,0
2,1783,0
3,1783,0
4,1783,0